sampleid,x,y
0,1021,0
1,538,1
2,439,1
3,993,1
4,471,1
5,586,1
6,572,1
7,693,1
8,874,1
9,694,1
10,223,1
11,701,1
12,732,1
13,801,1
14,764,1
15,378,1
16,842,1
17,103,1
18,614,1
19,108,1
20,623,1
21,3,1
22,863,1
23,30,1
24,980,1
25,198,1
26,873,1
27,328,1
28,943,1
29,664,1
30,956,1
31,470,1
32,154,1
33,610,1
34,962,1
35,365,1
36,1005,0
37,135,1
38,764,1
39,709,1
40,184,1
41,493,1
42,671,1
43,735,1
44,156,1
45,346,1
46,202,1
47,48,1
48,392,1
49,508,1
50,90,1
51,833,1
52,29,1
53,24,1
54,29,1
55,687,1
56,204,1
57,592,1
58,572,1
59,605,1
60,144,1
61,1013,0
62,645,1
63,381,1
64,789,1
65,747,1
66,239,1
67,981,1
68,96,1
69,391,1
70,730,1
71,108,1
72,771,1
73,491,1
74,913,1
75,844,1
76,119,1
77,56,1
78,216,1
79,550,1
80,862,1
81,15,1
82,463,1
83,607,1
84,911,1
85,597,1
86,44,1
87,921,1
88,469,1
89,370,1
90,334,1
91,523,1
92,244,1
93,359,1
94,767,1
95,928,1
96,547,1
97,341,1
98,339,1
99,858,1
100,534,1
101,1024,0
102,737,1
103,76,1
104,12,1
105,864,1
106,642,1
107,992,1
108,199,1
109,289,1
110,212,1
111,980,1
112,906,1
113,948,1
114,812,1
115,544,1
116,632,1
117,493,1
118,837,1
119,679,1
120,715,1
121,76,1
122,551,1
123,244,1
124,604,1
125,719,1
126,368,1
127,1008,0
128,724,1
129,573,1
130,656,1
131,376,1
132,1015,0
133,205,1
134,187,1
135,193,1
136,1023,0
137,937,1
138,124,1
139,308,1
140,605,1
141,565,1
142,75,1
143,829,1
144,659,1
145,186,1
146,186,1
147,777,1
148,411,1
149,711,1
150,637,1
151,361,1
152,13,1
153,830,1
154,59,1
155,381,1
156,31,1
157,661,1
158,683,1
159,317,1
160,863,1
161,822,1
162,190,1
163,684,1
164,876,1
165,111,1
166,761,1
167,826,1
168,855,1
169,913,1
170,370,1
171,297,1
172,439,1
173,221,1
174,586,1
175,17,1
176,244,1
177,308,1
178,157,1
179,470,1
180,599,1
181,624,1
182,809,1
183,687,1
184,233,1
185,682,1
186,272,1
187,597,1
188,247,1
189,209,1
190,419,1
191,944,1
192,334,1
193,223,1
194,295,1
195,979,1
196,477,1
197,213,1
198,45,1
199,691,1
200,206,1
201,944,1
202,889,1
203,80,1
